,State,County,Population,People 1/2 Mile and More,People 1 Mile and More,People 10 Miles and More,People 20 Miles and More,Civilian labour force,Employed poulation,Unemployed population,Rate of Unemployment
718,IN,Dearborn,50047,47222.39516,45001.84099,0,0,25214,23920,1294,5
719,GA,Decatur,27842,21754.51431,18604.05249,1672.8648,0,11394,10620,774,7
720,IA,Decatur,8457,7640.889434,5106.385425,919.4954215,0,4431,4285,146,3
721,IN,Decatur,25740,20665.2858,15350.74259,2786.917734,0,14293,13711,582,4
722,KS,Decatur,2961,1546.215689,1039.92961,499.8395562,0.002817892,1351,1301,50,4
723,TN,Decatur,11757,10858.49054,9181.892377,749.0457771,0,4704,4334,370,8
724,OH,Defiance,39037,34058.75447,23771.97378,0,0,18671,17756,915,5
725,IA,Delaware,17764,15672.02313,12619.97746,1118.612029,0,10692,10328,364,3
726,IN,Delaware,117671,95039.96132,56477.59018,0,0,54442,51339,3103,6
727,NY,Delaware,47980,38632.72951,33900.65299,1347.131892,0,19609,18435,1174,6
728,OH,Delaware,174214,156402.5346,113422.6946,0,0,102340,98729,3611,4
729,OK,Delaware,41487,38989.44075,36030.20851,5498.052614,0,17475,16609,866,5
730,PA,Delaware,558979,362935.2268,122322.7309,0,0,291513,277251,14262,5
731,CO,Delta,30952,24628.24516,18664.10171,380.027245,0.00111265,13438,12670,768,6
732,MI,Delta,37069,27761.75134,21749.03071,3414.652546,334.6387912,17210,16042,1168,7
733,TX,Delta,5231,3915.50104,3098.943304,377.2027916,0,2592,2474,118,5
734,AK,Denali,1826,1826.000014,1826.000014,1826.000014,1826.000014,1072,978,94,9
735,MO,Dent,15657,13210.86428,10463.54997,2274.30024,6.654878653,6301,5934,367,6
736,TX,Denton,662614,522904.478,283291.4096,1037.291055,0,428166,412960,15206,4
737,CO,Denver,600158,361756.3789,98648.05986,0,0,375443,361592,13851,4
738,OR,Deschutes,157733,121123.8145,73703.42392,765.5434744,64.02919149,84757,79773,4984,6
739,AR,Desha,13008,11258.62822,7472.035689,1115.726012,0,5547,5142,405,7
740,NE,Deuel,1941,1065.151491,943.7427096,520.520611,0,1074,1047,27,3
741,SD,Deuel,4364,4363.999993,4363.999993,4237.405553,1536.910425,2306,2191,115,5
742,OK,Dewey,4810,4809.999999,4809.999999,4809.999999,3385.582365,2496,2406,90,4
743,SD,Dewey,5301,3908.724097,2927.447472,2319.478408,1710.863893,2289,2025,264,12
744,TX,Dickens,2444,1766.447595,1420.560756,484.9589176,26.39153203,702,670,32,5
745,VA,Dickenson,15903,14955.09773,13887.00939,30.10792032,0,4911,4415,496,10
746,ND,Dickey,5289,4296.860238,3411.111977,2790.49372,2171.741536,2553,2506,47,2
747,IA,Dickinson,16667,12844.53126,9339.95157,236.1123347,0,10217,9817,400,4
748,KS,Dickinson,19754,16107.62139,10937.74611,3152.558543,0,9520,9028,492,5
749,MI,Dickinson,26168,18879.19372,13410.44309,2359.837783,86.12471983,12583,11871,712,6
750,TN,Dickson,49666,42882.37502,36359.46829,1468.604327,0,24053,22746,1307,5
751,AK,Dillingham,4847,4156.593276,3886.995636,1578.584702,1100.080272,2044,1846,198,10
752,SC,Dillon,32062,27757.66779,21655.63649,0.001179244,0,12674,11583,1091,9
753,TX,Dimmit,9996,7894.271635,5040.855306,1060.270296,31.69983576,7156,6825,331,5
754,VA,Dinwiddie,28001,26527.41801,23205.09035,3487.247652,0,13311,12589,722,5
755,ND,Divide,2071,1169.963375,996.0243317,684.0674004,75.849699,1816,1783,33,2
756,FL,Dixie,16422,15398.19142,13764.43507,927.7345715,173.2407827,5587,5239,348,6
757,NE,Dixon,6000,6000.000004,6000.000004,2498.007757,0,3082,2980,102,3
758,WV,Doddridge,8202,7451.390897,7144.600295,169.9527627,0,3634,3433,201,6
759,GA,Dodge,21796,18494.11599,14076.81257,0,0,6957,6374,583,8
760,MN,Dodge,20087,17696.44679,12658.50404,802.8897083,0,11454,11028,426,4
761,NE,Dodge,36691,27624.53429,14684.17575,4157.275478,0,19093,18471,622,3
762,WI,Dodge,88759,66450.01625,45787.23755,0,0,47580,45483,2097,4
763,CO,Dolores,2064,1674.87532,1277.443198,413.6658196,51.07101465,1322,1281,41,3
764,KS,Doniphan,7945,7944.999957,7944.999957,4184.771275,0,4319,4132,187,4
765,TX,Donley,3677,2802.31541,2080.940237,534.9588557,0.0000433,1592,1526,66,4
766,GA,Dooly,14918,13196.50549,11348.63623,4992.811833,0,4759,4400,359,8
767,WI,Door,27785,25639.60249,20565.84648,642.3297465,0,15495,14465,1030,7
768,MD,Dorchester,32618,25490.65096,21352.06208,1955.390625,0,15846,14714,1132,7
769,SC,Dorchester,136555,114906.5692,68170.02805,1480.157389,0,72712,68732,3980,6
770,GA,Dougherty,94565,78791.42306,53606.63811,94.07811353,0,37879,34958,2921,8
771,CO,Douglas,285465,233760.7554,121653.7879,1687.729412,0.00033375,172093,166762,5331,3
772,GA,Douglas,132403,115748.4676,82209.27997,79.22383592,0,68340,64014,4326,6
773,IL,Douglas,19980,14208.40384,8796.430057,1283.357867,0,10082,9586,496,5
774,KS,Douglas,110826,77334.63239,33004.64905,11.95003631,0,64763,62375,2388,4
775,MN,Douglas,36009,33965.55548,28973.27669,7564.420098,0,20138,19452,686,3
776,MO,Douglas,13684,13181.59717,11740.39851,3536.289831,0,5040,4698,342,7
777,NE,Douglas,517110,349264.9077,103604.5395,0,0,286727,277240,9487,3
778,NV,Douglas,46997,44872.56338,40581.54327,2150.972247,15.98134278,22496,20982,1514,7
779,OR,Douglas,107667,88746.87097,62836.60962,9106.278566,611.4767374,44369,41043,3326,8
780,SD,Douglas,3002,3001.999995,3001.999995,2801.503928,713.0680333,1670,1629,41,3
781,WA,Douglas,38431,34889.23771,26404.26951,3612.480458,82.5218467,19776,18503,1273,6
782,WI,Douglas,44159,33969.6675,20133.45367,7701.488551,1.459656857,23371,22213,1158,5
783,AR,Drew,18509,15607.61111,11896.39221,1723.479904,0,7926,7374,552,7
784,IL,DuPage,916924,658318.4502,252538.3422,0,0,512100,487789,24311,5
785,IN,Dubois,41889,29585.78613,21208.91187,1053.033405,0,22675,21906,769,3
786,IA,Dubuque,93653,78044.05309,44345.18276,377.9265775,0,55757,53701,2056,4
787,UT,Duchesne,18607,14907.73648,11642.83321,4651.521966,909.9368799,8827,8162,665,8
788,MA,Dukes,16535,13816.1299,9819.661069,63.98585492,0,9455,8838,617,7
789,NE,Dundy,2008,1258.883865,1043.527205,667.9138633,19.4099585,1197,1172,25,2
790,MO,Dunklin,31953,22669.91761,13440.90153,1.707966655,0,13128,12072,1056,8
791,ND,Dunn,3536,3535.999993,3535.999993,3341.731331,2807.366364,4020,3941,79,2
792,WI,Dunn,43857,34536.14037,29678.39897,2750.97663,0,23792,22723,1069,5
793,NC,Duplin,58505,51979.3793,44682.65649,319.2707185,0,26488,24969,1519,6
794,NC,Durham,267587,204839.2199,103098.3914,63.67737834,0,156610,148757,7853,5
795,NY,Dutchess,297488,254450.8649,186455.9715,0,0,144065,137603,6462,5
796,FL,Duval,864263,640434.742,283765.0573,0,0,460613,433842,26771,6
797,TX,Duval,11782,9857.712054,6046.719365,3156.58339,18.04183179,5234,4811,423,8
798,TN,Dyer,38335,35653.63298,28643.14865,122.7684177,0,16635,15443,1192,7
799,CO,Eagle,52197,38785.24791,24491.10272,554.3314484,1.487165081,32734,31707,1027,3
800,GA,Early,11008,10144.12227,7887.020293,403.8256285,0,4358,4056,302,7
801,TX,Eastland,18583,15025.01758,9743.674188,3148.093749,0,8031,7652,379,5
802,MI,Eaton,107759,88353.5795,62726.75999,29.06750673,0,55764,53296,2468,4
803,GA,Echols,4034,3828.19218,3474.617217,194.3037528,15.09000226,1866,1779,87,5
804,TX,Ector,137130,101535.7818,49006.613,1685.647217,2.694555135,79709,76012,3697,5
805,ND,Eddy,2385,1272.796337,969.215461,688.503906,224.745003,1271,1210,61,5
806,NM,Eddy,53829,45590.29688,30611.9985,3134.645105,374.9048594,29685,28226,1459,5
807,IL,Edgar,18576,15469.51813,11699.108,4611.051596,0,9428,8839,589,6
808,NC,Edgecombe,56552,47334.36851,35982.98343,0,0,22820,20635,2185,10
809,SC,Edgefield,26985,24431.21518,19538.84926,911.0105286,0,10668,9991,677,6
810,KY,Edmonson,12161,11626.21286,11104.1242,262.4330838,0,4640,4312,328,7
811,SD,Edmunds,4071,3259.22811,3112.753311,2591.615622,748.7257886,2215,2160,55,3
812,IL,Edwards,6721,4710.521626,3956.209223,1243.358107,0,2943,2768,175,6
813,KS,Edwards,3037,1846.060521,1546.609177,485.9001371,23.40494872,1749,1696,53,3
814,TX,Edwards,2002,1367.33206,810.2964469,638.0084491,383.168967,864,824,40,5
815,GA,Effingham,52250,49953.491,45076.53912,271.4276782,0,27172,25783,1389,5
816,IL,Effingham,34242,27744.78795,22650.96299,2080.036954,0,18410,17527,883,5
817,CO,Elbert,23086,21942.22793,21014.80241,6389.483724,1421.456412,13256,12839,417,3
818,GA,Elbert,20166,18702.58737,16134.732,646.1413567,0,7613,7048,565,7
819,KS,Elk,2882,2882.000005,2882.000005,2863.469059,1257.849554,1280,1219,61,5
820,PA,Elk,31946,25757.51014,17578.85398,68.63061546,0,16329,15524,805,5
821,IN,Elkhart,197559,158409.2936,92076.25658,0,0,104716,100644,4072,4
822,NV,Elko,48818,38858.0233,26663.08468,4705.095147,2480.939045,26947,25564,1383,5
823,KY,Elliott,7852,7827.665928,7701.734061,15.67382,0,2121,1912,209,10
824,KS,Ellis,28452,22228.77518,10954.36812,3267.952115,0,17522,16999,523,3
825,OK,Ellis,4151,4151.000004,4151.000004,4127.227743,3289.95492,2391,2294,97,4
826,TX,Ellis,149610,131408.0448,106112.5982,34.62526714,0,80881,77700,3181,4
827,KS,Ellsworth,6497,4899.285922,3393.424905,2027.577404,0,2939,2831,108,4
828,AL,Elmore,79303,74108.23993,66039.14197,178.1232789,0,36743,34897,1846,5
829,ID,Elmore,27038,22752.83781,14032.46459,3526.124621,2244.389501,10734,10222,512,5
830,GA,Emanuel,22598,21122.33345,17868.65431,4794.270083,0,8317,7590,727,9
831,UT,Emery,10976,9269.016992,7783.639738,4428.501061,1132.000009,4413,4145,268,6
832,IA,Emmet,10302,7687.277726,4762.315612,2215.103343,0,5667,5455,212,4
833,MI,Emmet,32694,26646.51391,23184.82583,4855.340877,0,17604,16335,1269,7
834,ND,Emmons,3550,2514.005835,2372.27353,1640.384436,350.9895509,1553,1476,77,5
835,VA,Emporia,5927,3326.019923,289.0269661,0,0,2245,2089,156,7
836,TX,Erath,37890,34552.60743,26748.52696,4141.76917,47.47157314,20145,19355,790,4
837,NY,Erie,919040,650259.3863,335317.5308,2.287623525,0,451194,427193,24001,5
838,OH,Erie,77079,67874.72687,45726.55675,34.47333,0,37356,35288,2068,6
839,PA,Erie,280566,222578.006,130996.6724,171.4078821,0,134748,127337,7411,6
840,AL,Escambia,38319,34615.41794,25930.10482,2433.66348,0,14597,13571,1026,7
841,FL,Escambia,297619,252140.4818,154818.6413,848.7411054,0,138136,130409,7727,6
842,NV,Esmeralda,783,783,783,760.9999994,760.9999994,530,507,23,4
843,MA,Essex,743159,531769.369,285958.0397,0,0,407869,387516,20353,5
844,NJ,Essex,783969,304772.088,69123.51462,0,0,375066,349110,25956,7
845,NY,Essex,39370,33574.03578,29059.53267,1021.873706,0,17409,16363,1046,6
846,VA,Essex,11151,10714.61755,9992.602153,1541.205262,0,5511,5214,297,5
847,VT,Essex,6306,6148.729167,5936.155795,1877.306932,0,2755,2596,159,6
848,KY,Estill,14672,13224.17967,11970.27892,26.20761682,0,5284,4963,321,6
849,AL,Etowah,104430,88942.06486,69299.14827,0,0,42684,40045,2639,6
850,NV,Eureka,1987,1987.000007,1987.000007,1953.428926,1848.262706,1003,944,59,6
851,LA,Evangeline,33984,28740.96376,24005.30966,2475.592984,0,13010,12030,980,8
852,GA,Evans,11000,9420.629977,7607.295984,0,0,4663,4403,260,6
853,VA,Fairfax,1081726,673185.6422,221042.2723,0,0,613618,591702,21916,4
854,VA,Fairfax,1081726,673185.6422,221042.2723,0,0,12799,12351,448,4
855,CT,Fairfield,916829,637754.7904,308217.9332,0,0,481852,456134,25718,5
856,OH,Fairfield,146156,127595.2924,95142.85964,11.45706768,0,74877,71619,3258,4
857,SC,Fairfield,23956,22526.70979,19511.55149,3580.881171,0,10022,9216,806,8
858,MT,Fallon,2890,1824.87223,1086.76958,648.4119066,164.9180265,1967,1921,46,2
859,TX,Falls,17866,16270.994,13043.0448,5612.081595,0,6449,6176,273,4
860,GA,Fannin,23682,21937.14006,20067.4058,28.4262718,0,10115,9489,626,6
861,TX,Fannin,33915,31753.11978,28577.40074,6622.52759,46.53508607,15362,14733,629,4
862,MN,Faribault,14553,11954.8562,9096.101698,2215.261281,0,7503,7176,327,4
863,SD,Faulk,2364,2364.000008,2364.000008,2361.904045,1854.645052,1117,1088,29,3
864,AR,Faulkner,113237,106171.1141,86292.93142,659.7668684,0,59915,57123,2792,5
865,VA,Fauquier,65203,55822.40386,47831.06247,347.8612566,0,35726,34315,1411,4
866,AL,Fayette,17241,15384.47818,12302.55079,179.0758399,0,6422,5971,451,7
867,GA,Fayette,106567,96520.17194,72465.54916,0,0,54164,51358,2806,5
868,IA,Fayette,20880,16514.45063,10736.03203,965.6580339,0,10821,10327,494,5
869,IL,Fayette,22140,20236.13178,16678.65452,4862.011285,0,9698,9060,638,7
870,IN,Fayette,24277,18557.65665,14926.09127,139.1260686,0,8990,8399,591,7
871,KY,Fayette,295803,209504.9798,73436.72958,0,0,166522,160099,6423,4
872,OH,Fayette,29030,23081.34353,13920.464,0,0,14022,13330,692,5
873,PA,Fayette,136606,115393.9456,78731.67801,2188.104363,0,58364,53985,4379,8
874,TN,Fayette,38413,35848.39142,31610.70867,4468.81674,0,17840,16738,1102,6
875,TX,Fayette,24554,21972.94495,17539.38546,6500.286752,13.5897705,12764,12341,423,3
876,WV,Fayette,46039,39703.28172,32319.27477,444.252363,0,16240,14844,1396,9
877,TN,Fentress,17959,16381.14587,14535.24092,49.00407448,0,6990,6481,509,7
878,MT,Fergus,11586,9375.341526,6159.062973,3356.965705,1549.695984,5692,5457,235,4
879,WA,Ferry,7551,6829.189734,6447.829298,3695.031746,1462.056022,2477,2223,254,10
880,MN,Fillmore,20866,16803.07501,13251.90254,537.7033046,0,11405,10941,464,4
881,NE,Fillmore,5890,4422.039626,3674.889499,1409.761236,0,3208,3113,95,3
882,KS,Finney,36776,25258.01289,14018.55696,1042.573098,133.4098718,20130,19421,709,4
883,TX,Fisher,3974,2884.361223,2442.49597,676.641005,0,1799,1730,69,4
884,FL,Flagler,95696,89907.6771,71044.18352,295.94054,0,43676,40928,2748,6
885,MT,Flathead,90928,74842.11379,52879.09481,3118.448317,670.077832,44753,42194,2559,6
886,KY,Fleming,14348,12899.06766,11498.68863,846.4358179,0,6236,5853,383,6
887,SC,Florence,136885,115357.6213,82599.90121,0,0,65502,61238,4264,7
888,WI,Florence,4423,4422.960973,4267.933004,1920.193976,4.134754135,2215,2066,149,7
889,GA,Floyd,96317,85307.76628,62761.05255,107.6541086,0,42982,40115,2867,7
890,IA,Floyd,16303,12549.45445,9293.17854,2653.777066,0,8707,8376,331,4
891,IN,Floyd,74578,60056.02284,34966.08889,0,0,39932,38222,1710,4
892,KY,Floyd,39451,36625.81203,33574.34739,0,0,11913,10819,1094,9
893,TX,Floyd,6446,3549.292681,1551.860551,338.5676325,27.06089393,2743,2591,152,6
894,VA,Floyd,15279,14843.45568,14189.68914,4253.493097,0,8292,7962,330,4
895,VA,Fluvanna,25691,25233.71965,23680.86749,43.07499745,0,13160,12664,496,4
896,TX,Foard,1336,1336.000005,1336.000005,1336.000005,1077.798872,550,528,22,4
897,IL,Ford,14081,10125.54921,6204.843585,1573.96076,0,6508,6156,352,5
898,KS,Ford,33848,25160.83282,15575.87638,2902.756964,1062.933259,18062,17449,613,3
899,PA,Forest,7716,6805.63146,5802.455522,89.8802819,0,1899,1750,149,8
900,WI,Forest,9304,7892.713921,7493.965583,3501.951663,192.3422777,4000,3701,299,8
901,MS,Forrest,74934,59371.58596,37731.95539,2315.537156,0,32842,30778,2064,6
902,GA,Forsyth,175511,159211.8011,119301.771,0,0,104421,99689,4732,5
903,NC,Forsyth,350670,290425.3395,173309.6558,0,0,179729,169830,9899,6
904,ND,Foster,3343,2168.757583,1253.842008,612.6334825,287.820309,1630,1583,47,3
905,IN,Fountain,17240,13395.90593,9500.794755,519.8913243,0,8049,7572,477,6
906,AL,Franklin,31704,27868.48225,21139.76711,872.4553508,0,13661,12782,879,6
907,AR,Franklin,18125,16335.27117,13846.52228,1185.837227,0.253373168,7412,7047,365,5
908,FL,Franklin,11549,9521.99486,7715.747956,179.4196952,0,4773,4548,225,5
909,GA,Franklin,22084,19916.80522,17357.4479,298.2208743,0,9287,8704,583,6
910,IA,Franklin,10680,8861.039232,6506.139005,1767.515415,0,5962,5761,201,3
911,ID,Franklin,12786,10727.55952,8662.256705,919.1117878,75.59931267,6447,6243,204,3
912,IL,Franklin,39561,32281.17852,23387.8288,749.9249461,0,16482,15150,1332,8
913,IN,Franklin,23087,19942.02332,18322.94632,1709.194604,0,11387,10809,578,5
914,KS,Franklin,25992,25481.85607,22495.15126,1997.801897,0,14102,13457,645,5
915,KY,Franklin,49285,41085.36652,26543.78052,226.240175,0,24018,22986,1032,4
916,LA,Franklin,20767,18880.3054,14746.08642,1230.696097,0,7532,6803,729,10
917,MA,Franklin,71372,57787.54741,50691.32691,219.2635773,0,39433,37702,1731,4
918,ME,Franklin,30768,26519.54091,22897.23545,137.6633341,14.18909948,14534,13843,691,5
919,MO,Franklin,101492,82634.04948,61183.82474,973.107868,0,52540,49878,2662,5
920,MS,Franklin,8118,7668.503212,6976.437725,2578.131234,0,2938,2713,225,8
921,NC,Franklin,60619,57719.48918,52501.9133,2042.544861,0,28715,27014,1701,6
922,NE,Franklin,3225,2320.844036,2185.025124,1548.553231,0,1511,1475,36,2
923,NY,Franklin,51599,42392.81732,35936.1932,4360.413368,8.435182608,20083,18779,1304,7
924,OH,Franklin,1163414,795825.3509,319428.3136,0,0,655826,629006,26820,4
925,PA,Franklin,149618,126985.4485,98276.78426,2474.536886,0,77850,73988,3862,5
926,TN,Franklin,41052,37695.98389,33515.29179,3240.963846,0,19560,18546,1014,5
927,TX,Franklin,10605,9399.545054,7755.133128,521.5291493,0,4553,4331,222,5
928,VA,Franklin,56159,55653.16597,54056.12734,5881.766866,0,26444,25209,1235,5
929,VA,Franklin,56159,55653.16597,54056.12734,5881.766866,0,3608,3366,242,7
930,VT,Franklin,47746,40977.44524,33385.04604,1186.907272,0,27281,26308,973,4
931,WA,Franklin,78163,55817.16115,39429.96712,4910.450074,52.97355377,38981,36002,2979,8
932,MD,Frederick,233385,175953.8896,113571.3884,0,0,128928,123176,5752,5
933,VA,Frederick,78305,68764.46435,49201.89963,1769.257599,0,44612,42841,1771,4
934,VA,Fredericksburg,24286,17234.4442,6390.310091,0,0,13367,12652,715,5
935,MN,Freeborn,31255,28431.38691,22413.12719,609.6017317,0,16345,15730,615,4
936,TX,Freestone,19816,17619.56744,15068.1416,2580.912798,0,7405,7004,401,5
937,CO,Fremont,46824,41253.12167,30720.74135,3359.13366,171.0728523,14497,13602,895,6
938,IA,Fremont,7441,6721.44466,6459.29477,3370.505154,0,4152,4014,138,3
939,ID,Fremont,13242,11554.83122,8848.693067,1263.485437,423.6149047,7170,6907,263,4
940,WY,Fremont,40123,30694.17752,21780.58972,4283.775493,767.1477763,20289,19160,1129,6
941,CA,Fresno,930450,591026.6539,244520.6184,15416.68962,355.840812,441364,396410,44954,10
942,TX,Frio,17217,14185.1498,7930.607556,509.8223621,22.62347773,9795,9420,375,4
943,NE,Frontier,2756,2756.000005,2756.000005,2756.000005,1816.398859,1532,1495,37,2
944,AR,Fulton,12245,11554.53647,10787.25334,1687.560992,0,4759,4511,248,5
945,GA,Fulton,920581,642365.299,263833.8935,0,0,514749,483972,30777,6
946,IL,Fulton,37069,27063.40775,19035.37468,3646.403603,0,15785,14582,1203,8
947,IN,Fulton,20836,19668.87268,15675.11778,1169.814181,0,9862,9389,473,5
948,KY,Fulton,6813,4515.342307,2404.98431,2.31057356,0,2082,1923,159,8
949,NY,Fulton,55531,43000.4862,30668.28897,117.4302832,0,23580,22064,1516,6
950,OH,Fulton,42698,36709.74615,30029.72592,0.052897746,0,22435,21342,1093,5
951,PA,Fulton,14845,13406.23345,12443.70558,1850.942558,0,7440,6977,463,6
952,NE,Furnas,4959,3510.321833,3308.912665,2341.369138,8.839148533,2728,2656,72,3
953,FL,Gadsden,46389,40424.17663,33642.97562,694.0639686,0,18212,16900,1312,7
954,NE,Gage,22311,17090.9615,12020.67859,3647.9455,0,11045,10645,400,4
955,TX,Gaines,17526,14659.0431,9658.157393,618.1278928,0.538811307,9398,9094,304,3
956,VA,Galax,7042,3155.494692,396.7469345,0,0,2946,2784,162,6
957,IL,Gallatin,5589,5589.000012,5589.000012,4856.048815,0,2465,2300,165,7
958,KY,Gallatin,8589,7438.735865,6766.881998,0,0,3804,3607,197,5
959,MT,Gallatin,89513,64159.7331,51647.58025,7291.914129,2533.935249,59360,57576,1784,3
960,OH,Gallia,30934,28786.09486,25414.60908,898.1002721,0,12204,11412,792,7
961,TX,Galveston,291309,243000.1037,140270.5976,2934.689701,0,157808,149954,7854,5
962,NE,Garden,2057,2056.999992,2056.999992,2054.1421,1860.290473,1196,1167,29,2
963,CO,Garfield,56389,43323.74519,31257.139,504.0501884,55.2967797,30458,29194,1264,4
964,MT,Garfield,1206,861.4532646,851.0170448,666.9303579,501.1180779,761,740,21,3
965,NE,Garfield,2049,911.7213971,810.0796663,208.977146,39.03400205,1194,1165,29,2
966,OK,Garfield,60580,47773.62481,25749.82257,3066.744916,0,30082,28895,1187,4
967,UT,Garfield,5172,3840.51514,3131.841277,1811.691255,1495.760452,2762,2515,247,9
968,WA,Garfield,2266,2266,2266,2258.365061,1814.257199,930,872,58,6
969,AR,Garland,96024,87112.32865,68732.32924,1850.099894,0,39950,37769,2181,6
970,KY,Garrard,16912,16912.00009,16912.00009,868.4432073,0,7609,7222,387,5
971,MD,Garrett,30097,28879.91878,25362.09568,117.7147101,0,15688,14701,987,6
972,OK,Garvin,27576,23149.32379,18663.62081,7080.528944,87.33864388,12831,12227,604,5
973,TX,Garza,6461,5004.307423,1281.367737,290.8113581,13.08822635,2129,2051,78,4
974,MO,Gasconade,15222,11505.20711,9597.115002,953.4063815,0,7685,7358,327,4
975,NC,Gaston,206086,170512.7816,108397.9529,0,0,102781,96604,6177,6
976,NC,Gates,12197,11934.7421,11436.32286,4.764051285,0,5144,4862,282,6
977,KS,Geary,34362,28163.96394,20421.14682,299.3234356,0,12111,11361,750,6
978,OH,Geauga,93389,88002.42603,78039.64745,11.822083,0,48668,46625,2043,4
979,ID,Gem,16719,16223.51507,12552.70352,1193.109803,132.1459351,7530,7128,402,5
980,MI,Genesee,425790,342563.2114,207332.1537,0,0,181426,170382,11044,6
981,NY,Genesee,60079,51675.3438,38388.19842,0,0,30270,28774,1496,5
982,AL,Geneva,26790,22021.43203,18256.04168,9.094307035,0,10785,10147,638,6
983,MO,Gentry,6738,4243.710488,2851.506131,222.8904903,0,3616,3464,152,4
984,MS,George,22578,21611.80826,19474.30465,2299.506213,0,8857,8193,664,8
985,SC,Georgetown,60158,50881.09079,37994.48922,3006.026955,0,25233,23114,2119,8
986,IN,Gibson,33503,27461.89224,20085.61011,482.4077272,0,18860,18143,717,4
987,TN,Gibson,49683,43912.55314,33687.13515,35.0550108,0,20994,19447,1547,7
988,AZ,Gila,53597,45258.1392,32702.83952,6372.912858,912.3969722,21110,19447,1663,8
989,FL,Gilchrist,16939,15703.29504,14638.44501,99.02736962,0,6499,6131,368,6
990,TN,Giles,29485,26244.31099,22017.45751,3482.736525,0,14528,13804,724,5
991,VA,Giles,17286,14579.46557,12829.66388,128.9285946,0,7943,7531,412,5
992,TX,Gillespie,24837,21856.6208,15601.3097,2568.886007,0,12633,12270,363,3
993,OR,Gilliam,1871,1236.549113,1180.428589,1022.860336,726.529779,809,757,52,6
994,GA,Gilmer,28292,27414.53417,25206.97221,168.5734291,0,11723,11016,707,6
995,WV,Gilmer,8693,8257.864161,7243.838993,451.9803998,0,2699,2488,211,8
996,CO,Gilpin,5441,5440.999984,5440.999984,0,0,3397,3291,106,3
997,MT,Glacier,13399,10309.42257,6478.633251,2678.692819,717.590942,5845,5319,526,9
998,FL,Glades,12884,11488.48143,9906.021007,2605.823856,0,4711,4374,337,7
999,MI,Gladwin,25692,23770.61778,21240.25709,2042.077153,0,9961,9236,725,7
1000,GA,Glascock,3082,3081.999986,3081.999986,2165.352081,0,1234,1152,82,7
1001,TX,Glasscock,1226,1226.000004,1226.000004,1204.440693,939.2233708,821,798,23,3
1002,CA,Glenn,28122,21848.99203,14567.76239,1417.52942,216.8802641,12988,11856,1132,9
1003,NJ,Gloucester,288288,251033.0572,179353.3692,0,0,149930,140845,9085,6
1004,VA,Gloucester,36858,34397.88953,28032.3351,0,0,19090,18312,778,4
1005,GA,Glynn,79626,69959.47095,46462.98976,484.5991004,0,37695,35408,2287,6
1006,MI,Gogebic,16427,13319.21405,9589.837459,3303.276874,292.952802,6483,6009,474,7
1007,TX,Goliad,7210,6319.383196,5159.88695,2670.382323,0,3445,3292,153,4
1008,TX,Gonzales,19807,17047.82493,13274.66449,3359.23942,6.852996157,9691,9336,355,4
1009,VA,Goochland,21717,21432.00395,20344.81238,2199.588941,0,10616,10172,444,4
1010,MN,Goodhue,46183,39116.89728,29621.84057,3168.634128,0,26881,25938,943,4
1011,ID,Gooding,15464,10479.8772,8500.62154,1977.033805,0,7995,7715,280,4
1012,GA,Gordon,55186,48578.27011,40913.68821,0.729598179,0,26154,24611,1543,6
1013,WY,Goshen,13249,11421.97267,8120.021407,2737.221035,828.5526507,7095,6861,234,3
1014,NE,Gosper,2044,2044.000008,2044.000008,1298.298426,0,1075,1048,27,3
1015,KS,Gove,2695,2695.000015,2695.000015,2625.877777,916.2098083,1487,1450,37,3
1016,GA,Grady,25011,21727.14582,17728.47093,795.2429583,0,10422,9796,626,6
1017,OK,Grady,52431,47529.4073,38622.59835,3802.859367,0,26219,25040,1179,5
1018,NH,Grafton,89118,78584.76845,62301.77514,2487.266385,0,48443,47113,1330,3
1019,AZ,Graham,37220,34122.41736,29808.0023,4343.558599,2267.693119,14447,13388,1059,7
1020,KS,Graham,2597,1734.070902,1065.640093,576.1008645,0,1272,1222,50,4
1021,NC,Graham,8861,8120.356637,7479.485648,251.4810778,0,3187,2805,382,12
1022,TN,Grainger,22657,21564.56676,19428.83978,0,0,9129,8523,606,7
1023,CO,Grand,14843,12761.19045,11189.7391,2881.579832,2274.262679,9051,8759,292,3
1024,UT,Grand,9225,6666.361154,4040.52513,214.6913329,107.4120858,5624,5282,342,6
1025,MT,Granite,3079,3071.165975,3045.276775,1957.509309,312.9573831,1557,1460,97,6
1026,AR,Grant,17853,16196.13546,13365.0516,1905.128368,0,8258,7883,375,5
1027,IN,Grant,70061,56450.53013,36570.32625,386.8057727,0,32522,30760,1762,5
1028,KS,Grant,7829,4854.528624,2057.813247,405.1777549,0,3902,3762,140,4
1029,KY,Grant,24662,23396.82919,22428.76919,1604.366037,0,10979,10391,588,5
1030,LA,Grant,22309,21552.8692,20939.21065,5050.626107,0,8488,7866,622,7
1031,MN,Grant,6018,5435.121986,4841.056477,2693.586651,0,3347,3190,157,5
1032,ND,Grant,2394,1781.017253,1730.637663,1252.662987,408.3405398,1320,1278,42,3
1033,NE,Grant,614,613.9999978,613.9999978,613.9999978,613.9999978,435,425,10,2
